Time	PID%	CPU	MEM(MB)	GPU_Load(%)	VRAM_Usage(MB)	Command
2024-05-23T09:38:49	172045	352	503.375	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T09:38:49	172145	0.0	15.25	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:50	172045	176	503.375	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T09:38:50	172145	319	409.836	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:50	172191	525	394.117	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:50	172225	347	366.246	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:50	172045	331	336.922	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T09:38:51	172045	141	503.625	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T09:38:51	172145	234	503.547	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:51	172191	344	503.582	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:51	172225	341	502.992	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:51	172045	344	496.09	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T09:38:52	172045	117	503.625	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T09:38:52	172145	175	503.547	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:52	172191	230	503.582	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:52	172225	227	502.992	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:52	172045	256	679.031	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T09:38:53	172045	101	503.625	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T09:38:53	172145	140	503.547	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:53	172191	172	503.582	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:53	172225	171	502.992	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:53	172045	192	679.031	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T09:38:54	172045	88.6	503.625	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T09:38:54	172145	117	503.547	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:54	172191	147	550.113	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T09:38:54	172225	137	502.992	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
