ROUND,METRIC,CLIENT_0,CLIENT_1,CLIENT_2
0,mse,0.0480227917432785,0.04976733401417732,0.04089102894067764
0,mae,0.0063089122995734215,0.005219758488237858,0.004645338281989098
1,mse,0.05651472508907318,0.04837185516953468,0.047300662845373154
1,mae,0.005131851881742477,0.005819373764097691,0.004676253534853458
2,mse,0.043499309569597244,0.044831711798906326,0.05083277449011803
2,mae,0.004445681348443031,0.005552695132791996,0.004585199989378452
3,mse,0.03565531224012375,0.04637742415070534,0.04230470210313797
3,mae,0.003362758085131645,0.004078689496964216,0.0050539919175207615
4,mse,0.03150049224495888,0.032517049461603165,0.026259444653987885
4,mae,0.0021349743474274874,0.002811924321576953,0.0012421214487403631
5,mse,0.03176005184650421,0.018663858994841576,0.030055752024054527
5,mae,0.002508555306121707,0.000649972993414849,0.001741468091495335
6,mse,0.025776857510209084,0.029366567730903625,0.020769376307725906
6,mae,0.0013169193407520652,0.0020225420594215393,0.0009725147974677384
7,mse,0.021269023418426514,0.03037131391465664,0.031100314110517502
7,mae,0.0008501814445480704,0.0015699827345088124,0.0023988820612430573
8,mse,0.024030016735196114,0.031139299273490906,0.03094513528048992
8,mae,0.0009967780206352472,0.0018396178493276238,0.0015739751979708672
9,mse,0.033219050616025925,0.03385459631681442,0.022556951269507408
9,mae,0.0021496948320418596,0.0020480616949498653,0.0011714223073795438
