Time	PID%	CPU	MEM(MB)	GPU_Load(%)	VRAM_Usage(MB)	Command
2024-05-23T10:01:45	188211	352	502.852	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:45	188308	0.0	14.5	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:46	188211	176	502.852	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:46	188308	293	395.195	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:46	188354	474	391.719	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:46	188388	346	361.094	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:46	188211	319	353.621	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:47	188211	141	503.102	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:47	188308	218	503.766	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:47	188354	317	502.961	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:47	188388	320	502.457	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:47	188211	304	528.918	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:48	188211	117	503.102	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:48	188308	163	503.766	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:48	188354	211	502.961	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:48	188388	214	502.457	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:48	188211	225	677.656	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:49	188211	101	503.102	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:49	188308	131	503.766	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:49	188354	159	502.961	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:49	188388	160	502.457	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:49	188211	168	677.656	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:50	188211	88.5	503.102	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:50	188308	116	548.891	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:50	188354	127	502.961	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:50	188388	128	502.457	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:50	188211	135	677.656	0	 2242	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:51	188211	78.7	504.102	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:51	188308	108	862.641	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:51	188354	106	502.961	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:51	188388	107	502.707	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:51	188211	112	677.656	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:52	188211	70.9	504.102	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:52	188308	94.5	862.641	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:52	188354	91.1	502.961	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:52	188388	92.1	502.707	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:52	188211	96.4	677.656	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:53	188211	64.5	504.102	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:53	188308	84.2	862.641	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:53	188354	79.7	502.961	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:53	188388	80.6	502.707	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:53	188211	84.5	677.656	0	 3428	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:54	188211	59.2	505.852	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:54	188308	75.8	862.641	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:54	188354	71.0	502.961	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:54	188388	71.8	502.707	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:54	188211	81.7	1014.16	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:55	188211	54.7	508.602	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:55	188308	69.0	862.641	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:55	188354	64.0	502.961	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:55	188388	64.7	502.707	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:55	188211	74.3	1018.41	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:56	188211	50.8	512.102	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:56	188308	63.3	862.641	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:56	188354	63.4	550.457	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:56	188388	62.2	549.41	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:56	188211	67.6	1018.41	0	 5658	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:57	188211	47.6	512.102	0	 8031	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:57	188308	63.4	894.641	0	 8031	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:57	188354	66.5	894.602	0	 8031	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:57	188388	65.5	878.66	0	 8031	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:57	188211	62.0	1018.41	0	 8031	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:58	188211	44.6	512.102	1	 8055	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:58	188308	66.5	1016.89	1	 8055	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:58	188354	69.3	1012.6	1	 8055	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:58	188388	68.8	945.297	1	 8055	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:58	188211	57.2	1018.41	1	 8055	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:01:59	188211	42.0	512.102	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:01:59	188308	69.2	1103.14	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:59	188354	72.2	1101.35	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:59	188388	71.5	1100.05	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:01:59	188211	53.1	1018.41	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:02:00	188211	39.6	512.102	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:02:00	188308	71.1	1103.64	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:02:00	188354	74.4	1101.6	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:02:00	188388	73.7	1100.8	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:02:00	188211	49.6	1018.41	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:02:01	188211	37.5	512.102	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:02:01	188308	72.8	1103.64	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:02:01	188354	76.2	1101.6	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:02:01	188388	75.5	1101.05	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:02:01	188211	46.5	1018.41	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:02:02	188211	35.7	512.102	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:02:02	188308	74.3	1103.64	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:02:02	188354	77.8	1102.1	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:02:02	188388	77.2	1101.05	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-23T10:02:02	188211	43.7	1018.41	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-23T10:02:03	188211	34.0	512.102	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-23T10:02:03	188308	76.0	1103.64	94	 8139	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
