ROUND,METRIC,CLIENT_0,CLIENT_1
0,mse,0.050237026065588,0.04668233171105385
0,mae,0.0036071743816137314,0.003363540628924966
1,mse,0.04203406348824501,0.03723818436264992
1,mae,0.002068590372800827,0.0021111099049448967
2,mse,0.024079037830233574,0.02084186300635338
2,mae,0.0008223613840527833,0.0007395290886051953
3,mse,0.023851638659834862,0.02994558773934841
3,mae,0.0008832410094328225,0.0011210470693185925
4,mse,0.034863390028476715,0.035240523517131805
4,mae,0.0014265119098126888,0.0017479704692959785
5,mse,0.02591054141521454,0.02701210416853428
5,mae,0.0009754488710314035,0.0008925572037696838
6,mse,0.01778154820203781,0.025192946195602417
6,mae,0.0006143698701635003,0.0007644638535566628
7,mse,0.018735598772764206,0.026737241074442863
7,mae,0.0005909898900426924,0.0008614490507170558
8,mse,0.016363520175218582,0.030714204534888268
8,mae,0.00039733879384584725,0.0013554743491113186
9,mse,0.01594620756804943,0.014694917015731335
9,mae,0.00047840920160524547,0.0003075612476095557
