ROUND,METRIC,CLIENT_0,CLIENT_1,CLIENT_2
0,mse,0.05162680894136429,0.04234239086508751,0.05504040792584419
0,mae,0.006363029591739178,0.004504350014030933,0.005591907538473606
1,mse,0.04505855590105057,0.041521694511175156,0.05034489929676056
1,mae,0.0057431915774941444,0.004434098955243826,0.004627007991075516
2,mse,0.05005001649260521,0.04581860452890396,0.04035832732915878
2,mae,0.004658098332583904,0.005609115120023489,0.0040991464629769325
3,mse,0.03970595449209213,0.04568365961313248,0.04741040617227554
3,mae,0.003483865410089493,0.005184110254049301,0.004127354361116886
4,mse,0.028933163732290268,0.0377458781003952,0.03987477347254753
4,mae,0.001972768222913146,0.0028080863412469625,0.003450140357017517
5,mse,0.020105568692088127,0.028388675302267075,0.029798615723848343
5,mae,0.0008393055177293718,0.0015724794939160347,0.0020154158119112253
6,mse,0.01830267161130905,0.02731870673596859,0.029822420328855515
6,mae,0.0006562730995938182,0.0014245653292164207,0.002349155256524682
7,mse,0.021342286840081215,0.026483140885829926,0.028177723288536072
7,mae,0.0008928297902457416,0.001368640223518014,0.0018134134588763118
8,mse,0.015889475122094154,0.0298652071505785,0.025800665840506554
8,mae,0.0004907336551696062,0.002389665925875306,0.0014287170488387346
9,mse,0.029483474791049957,0.027745116502046585,0.02169422246515751
9,mae,0.0020741820335388184,0.001393341924995184,0.0008370723226107657
