Time	PID%	CPU	MEM(MB)	GPU_Load(%)	VRAM_Usage(MB)	Command
2024-06-03T21:38:41	395454	354	503.121	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-06-03T21:38:41	395552	0.0	14.75	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:42	395454	236	503.121	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-06-03T21:38:42	395552	638	409.152	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:42	395598	496	391.48	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:42	395632	348	365.289	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:42	395454	320	356.004	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-06-03T21:38:43	395454	177	503.371	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-06-03T21:38:43	395552	350	503.141	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:43	395598	347	503.066	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:43	395632	332	502.191	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:43	395454	329	531.492	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-06-03T21:38:44	395454	142	503.371	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-06-03T21:38:44	395552	233	503.141	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:44	395598	231	503.066	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:44	395632	222	502.191	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:44	395454	241	677.34	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-06-03T21:38:45	395454	118	503.371	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-06-03T21:38:45	395552	175	503.141	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:45	395598	173	503.066	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:45	395632	166	502.441	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:45	395454	180	677.34	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-06-03T21:38:46	395454	101	503.371	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-06-03T21:38:46	395552	150	549.992	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:46	395598	139	503.066	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:46	395632	133	502.441	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:46	395454	144	677.34	0	 2258	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-06-03T21:38:47	395454	89.1	506.121	0	 5666	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-06-03T21:38:47	395552	133	862.992	0	 5666	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:47	395598	116	503.066	0	 5666	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:47	395632	111	502.441	0	 5666	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:47	395454	129	957.09	0	 5666	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-06-03T21:38:48	395454	79.2	506.121	0	 5674	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-06-03T21:38:48	395552	114	862.992	0	 5674	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:48	395598	99.5	503.316	0	 5674	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:48	395632	95.5	502.441	0	 5674	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-06-03T21:38:48	395454	113	1014.34	0	 5674	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-06-03T21:38:49	395454	71.4	506.121	0	 5674	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
