ROUND,METRIC,CLIENT_0,CLIENT_1
0,mse,0.04555569961667061,0.047420840710401535
0,mae,0.003280060598626733,0.0038440749049186707
1,mse,0.05393111705780029,0.029443535953760147
1,mae,0.004090450704097748,0.001538079115562141
2,mse,0.023976173251867294,0.025875944644212723
2,mae,0.0008851249003782868,0.0009205268579535186
3,mse,0.018565157428383827,0.022200727835297585
3,mae,0.0006863290909677744,0.0007722194422967732
4,mse,0.027553098276257515,0.025893960148096085
4,mae,0.0009118833113461733,0.000941239355597645
5,mse,0.024721359834074974,0.018424969166517258
5,mae,0.0007759450818412006,0.0005823750980198383
6,mse,0.01881629228591919,0.020030761137604713
6,mae,0.0006531495018862188,0.0005476135993376374
7,mse,0.0268248300999403,0.027958134189248085
7,mae,0.0010716374963521957,0.0009305847925134003
8,mse,0.016356274485588074,0.02789098024368286
8,mae,0.000484752788906917,0.0009343763813376427
9,mse,0.026942528784275055,0.02095785178244114
9,mae,0.0008614167454652488,0.0006889313808642328
