Time	PID	%CPU	MEM(MB)	GPU_Load(%)	VRAM_Usage(MB)	Command
2024-05-21T19:14:37	63793	353	502.645	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-21T19:14:37	63890	0.0	14.25	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:38	63793	235	502.645	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-21T19:14:38	63890	639	412.039	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:38	63936	502	393.234	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:38	63970	348	366.648	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:38	63793	329	351.73	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-21T19:14:39	63793	176	502.895	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-21T19:14:39	63890	350	502.238	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:39	63936	345	503.227	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:39	63970	342	503.363	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:39	63793	342	522.086	0	 8	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-21T19:14:40	63793	141	502.895	0	 11	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-21T19:14:40	63890	233	502.238	0	 11	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:40	63936	230	503.227	0	 11	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:40	63970	228	503.363	0	 11	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:40	63793	251	676.828	0	 11	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-21T19:14:41	63793	118	502.895	0	 11	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-05-21T19:14:41	63890	175	502.238	0	 11	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:41	63936	173	503.227	0	 11	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:41	63970	171	503.363	0	 11	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-05-21T19:14:41	63793	188	676.828	0	 11	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-05-21T19:14:42	63793	101	502.895	0	 11	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
