ROUND,METRIC,CLIENT_0,CLIENT_1
0,mse,0.13947322964668274,0.04229993745684624
0,mae,0.021612629294395447,0.0031742730643600225
1,mse,0.03225582093000412,0.027531437575817108
1,mae,0.0012898235581815243,0.0013077304465696216
2,mse,0.02005007117986679,0.023795248940587044
2,mae,0.000766532204579562,0.0008183175814338028
3,mse,0.019891466945409775,0.017311636358499527
3,mae,0.0006396264652721584,0.0005900117685087025
4,mse,0.018780292943120003,0.02789275534451008
4,mae,0.0006240142975002527,0.0009811415802687407
5,mse,0.03223375976085663,0.03496739640831947
5,mae,0.001237533986568451,0.0019622494000941515
6,mse,0.02654305100440979,0.01734745129942894
6,mae,0.0013203638372942805,0.0004089715948794037
7,mse,0.021415352821350098,0.017540059983730316
7,mae,0.0005952437059022486,0.0005135766114108264
8,mse,0.029903879389166832,0.02070540189743042
8,mae,0.0013078047195449471,0.0005665523349307477
9,mse,0.020400943234562874,0.018485579639673233
9,mae,0.0005601385491900146,0.0006191168795339763
