ROUND,METRIC,CLIENT_0,CLIENT_1,CLIENT_2
0,mse,0.06423114985227585,0.03894612193107605,0.04559608921408653
0,mae,0.009907159022986889,0.0027209308464080095,0.002961165737360716
1,mse,0.061042413115501404,0.054609090089797974,0.040382154285907745
1,mae,0.009273656643927097,0.003961256705224514,0.0020789445843547583
2,mse,0.06178969517350197,0.04852021113038063,0.054058607667684555
2,mae,0.00884774699807167,0.003004330676048994,0.003660071874037385
3,mse,0.040748246014118195,0.043169304728507996,0.054449643939733505
3,mae,0.0020611691288650036,0.002512681996449828,0.007811126299202442
4,mse,0.046306464821100235,0.039374981075525284,0.040527570992708206
4,mae,0.006280564237385988,0.0022861724719405174,0.0032143977005034685
5,mse,0.045404355973005295,0.03859619051218033,0.039001114666461945
5,mae,0.0057084583677351475,0.0022584309335798025,0.0025571780279278755
6,mse,0.0348941832780838,0.03703450784087181,0.04056336730718613
6,mae,0.001931961509399116,0.002555422717705369,0.0050610206089913845
7,mse,0.026309199631214142,0.03861510753631592,0.03262811154127121
7,mae,0.0015982345212250948,0.0044809249229729176,0.0016329303616657853
8,mse,0.03828250616788864,0.03468494489789009,0.02700969949364662
8,mae,0.004065766930580139,0.0017793748993426561,0.0016468698158860207
9,mse,0.024894334375858307,0.03073350340127945,0.033684346824884415
9,mae,0.001037535723298788,0.0015287077985703945,0.0029419048223644495
