ROUND,METRIC,CLIENT_0,CLIENT_1,CLIENT_2
0,mse,0.0548090897500515,0.052312593907117844,0.058673545718193054
0,mae,0.005520205944776535,0.006200914271175861,0.005592288449406624
1,mse,0.03925785422325134,0.04580308496952057,0.04993810877203941
1,mae,0.004298773128539324,0.005846227519214153,0.004743074532598257
2,mse,0.05430542677640915,0.0439804308116436,0.04616944491863251
2,mae,0.004889555741101503,0.004349846392869949,0.005671806167811155
3,mse,0.03372021019458771,0.04471977800130844,0.04677920415997505
3,mae,0.0027191275730729103,0.004796026274561882,0.004215494729578495
4,mse,0.02514006197452545,0.0338885523378849,0.030431609600782394
4,mae,0.001418762723915279,0.002770825522020459,0.0018536981660872698
5,mse,0.03389572352170944,0.03183065727353096,0.025639289990067482
5,mae,0.0025606288108974695,0.0016780075384303927,0.001225565909408033
6,mse,0.020081443712115288,0.03160591796040535,0.02709362655878067
6,mae,0.0008674804121255875,0.002334329765290022,0.0014886318240314722
7,mse,0.028774606063961983,0.02697202004492283,0.018038438633084297
7,mae,0.002078064251691103,0.0012388196773827076,0.0006158790783956647
8,mse,0.03127346932888031,0.0333404541015625,0.02515539899468422
8,mae,0.0021342614199966192,0.0030016936361789703,0.001176304416731
9,mse,0.02687832899391651,0.016546057537198067,0.023041311651468277
9,mae,0.0017088815802708268,0.0005979189882054925,0.001128991018049419
