ROUND,METRIC,CLIENT_0,CLIENT_1
0,mse,0.04241617023944855,0.050071634352207184
0,mae,0.003289876040071249,0.00419282540678978
1,mse,0.044016849249601364,0.02897370420396328
1,mae,0.002289145952090621,0.0013115860056132078
2,mse,0.032262399792671204,0.023105189204216003
2,mae,0.0013506092363968492,0.0008819107315503061
3,mse,0.035586077719926834,0.02586306817829609
3,mae,0.0015032246010378003,0.0009629347478039563
4,mse,0.027425065636634827,0.01752293109893799
4,mae,0.0009539572638459504,0.0006251386366784573
5,mse,0.021641679108142853,0.017837785184383392
5,mae,0.0006138571770861745,0.0006869801436550915
6,mse,0.020418673753738403,0.017712799832224846
6,mae,0.0005754216690547764,0.0006056673009879887
7,mse,0.027104925364255905,0.02113644778728485
7,mae,0.001434174133464694,0.0005916334339417517
8,mse,0.02306411974132061,0.020766807720065117
8,mae,0.0006975752767175436,0.0008416094351559877
9,mse,0.01594698056578636,0.018351446837186813
9,mae,0.00046001686132512987,0.0004480154311750084
