Time	PID	%CPU	MEM(MB)	GPU_Load(%)	VRAM_Usage(MB)	Command
2024-07-27T10:16:48	351434	346	401.062	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:48	351506	0.0	12.75	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:49	351434	254	488.23	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:49	351506	386	382.309	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:49	351551	0.0	355.34	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:49	351585	0.0	340.656	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:49	351434	0.0	329.121	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:16:50	351434	193	495.98	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:50	351506	357	501.051	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:50	351551	713	500.953	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:50	351585	695	492.398	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:50	351434	677	484.898	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:16:51	351434	129	495.98	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:51	351506	179	501.051	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:51	351551	238	501.203	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:51	351585	235	500.648	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:51	351434	257	543.09	0	 9	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:16:52	351434	111	495.98	0	 12	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:52	351506	143	501.051	0	 12	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:52	351551	178	501.203	0	 12	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:52	351585	176	500.648	0	 12	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:52	351434	196	678.34	0	 12	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:16:53	351434	97.2	495.98	0	 12	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:53	351506	119	501.051	0	 12	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:53	351551	144	521.203	0	 12	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:53	351585	141	500.648	0	 12	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:53	351434	156	678.34	0	 12	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:16:54	351434	86.4	496.98	1	 1199	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:54	351506	102	501.051	1	 1199	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:54	351551	135	864.98	1	 1199	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:54	351585	118	500.648	1	 1199	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:54	351434	130	678.34	1	 1199	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:16:55	351434	77.9	498.73	9	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:55	351506	89.8	501.051	9	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:55	351551	116	864.98	9	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:55	351585	101	500.898	9	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:55	351434	123	1018.59	9	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:16:56	351434	70.9	498.73	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:56	351506	82.7	543.891	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:56	351551	102	864.98	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:56	351585	89.6	520.898	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:56	351434	107	1018.59	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:16:57	351434	65.0	498.73	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:57	351506	79.7	548.891	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:57	351551	90.8	865.73	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:57	351585	87.1	549.277	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:57	351434	95.8	1018.59	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:16:58	351434	60.2	498.73	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:58	351506	72.5	548.891	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:58	351551	81.8	865.73	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:58	351585	78.5	549.277	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:58	351434	86.5	1018.59	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:16:59	351434	56.0	498.73	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:16:59	351506	66.5	548.891	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:59	351551	74.4	865.73	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:59	351585	71.4	549.277	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:16:59	351434	78.6	1018.59	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:17:00	351434	52.3	498.73	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:17:00	351506	61.9	549.641	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:17:00	351551	68.6	866.73	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:17:00	351585	65.8	550.027	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
2024-07-27T10:17:00	351434	72.0	1018.59	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-server-app
2024-07-27T10:17:01	351434	49.1	500.48	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-superlink
2024-07-27T10:17:01	351506	57.5	549.641	0	 3429	/home/lytvyn/miniconda3/envs/fl_env/bin/flower-client-app
